Date,Price,Open,High,Low,Vol.,Change %,Close
10/30/15,327.1,313.6,334.9,310.8,156.49K,4.30%,313.6
10/29/15,313.6,303.5,318.5,300.2,138.92K,3.32%,303.5
10/28/15,303.5,294.7,307.5,294.0,116.41K,3.01%,294.7
10/27/15,294.7,285.1,298.4,285.1,105.87K,3.34%,285.1
10/26/15,285.1,287.9,287.6,279.6,73.21K,-0.94%,287.9
10/25/15,287.9,282.6,295.6,281.8,113.90K,1.88%,282.6
10/24/15,282.6,276.9,283.0,277.0,60.13K,2.04%,276.9
10/23/15,276.9,274.4,279.8,273.2,69.32K,0.91%,274.4
10/22/15,274.4,267.1,278.7,266.8,93.15K,2.74%,267.1
10/21/15,267.1,269.8,272.2,263.5,59.64K,-0.98%,269.8
10/20/15,269.8,263.8,272.1,262.7,75.40K,2.25%,263.8
10/19/15,263.8,261.7,266.0,259.9,58.17K,0.82%,261.7
10/18/15,261.7,269.6,272.4,259.5,52.27K,-2.93%,269.6
10/17/15,269.6,262.9,275.4,261.7,113.84K,2.55%,262.9
10/16/15,262.9,254.4,267.3,253.9,95.18K,3.31%,254.4
10/15/15,254.4,252.3,256.8,251.2,60.64K,0.84%,252.3
10/14/15,252.3,248.8,255.1,248.3,69.58K,1.43%,248.8
10/13/15,248.8,245.4,251.2,243.1,74.88K,1.40%,245.4
10/12/15,245.4,247.6,248.0,244.6,40.39K,-0.93%,247.6
10/11/15,247.6,245.4,248.3,244.5,41.43K,0.94%,245.4
10/10/15,245.4,244.0,245.9,242.9,38.96K,0.54%,244.0
10/9/15,244.0,242.6,244.6,241.3,40.57K,0.60%,242.6
10/8/15,242.6,243.0,244.8,241.6,44.15K,-0.16%,243.0
10/7/15,243.0,246.1,247.3,241.6,62.60K,-1.28%,246.1
10/6/15,246.1,240.1,247.6,239.4,78.84K,2.49%,240.1
10/5/15,240.1,238.3,240.5,236.4,61.24K,0.76%,238.3
10/4/15,238.3,238.6,277.6,237.5,31.85K,-0.10%,238.6
10/3/15,238.6,236.7,239.5,236.1,43.31K,0.79%,236.7
10/2/15,236.7,237.1,238.4,235.1,47.94K,-0.14%,237.1
10/1/15,237.1,235.9,238.7,234.7,52.88K,0.47%,235.9
9/30/15,235.9,236.7,237.8,234.4,50.52K,-0.33%,236.7
9/29/15,236.7,238.9,240.4,234.8,57.30K,-0.90%,238.9
9/28/15,238.9,232.5,240.4,232.4,64.28K,2.74%,232.5
9/27/15,232.5,234.3,234.8,231.8,36.14K,-0.77%,234.3
9/26/15,234.3,235.0,235.7,232.7,40.29K,-0.31%,235.0
9/25/15,235.0,233.8,237.6,232.7,61.58K,0.54%,233.8
9/24/15,233.8,229.9,235.8,229.6,72.12K,1.68%,229.9
9/23/15,229.9,230.0,232.2,228.5,43.60K,-0.05%,230.0
9/22/15,230.0,226.3,233.2,224.1,71.55K,1.63%,226.3
9/21/15,226.3,231.1,231.6,225.0,53.43K,-2.06%,231.1
9/20/15,231.1,231.1,232.7,229.9,33.15K,0.00%,231.1
9/19/15,231.1,232.2,233.4,230.2,34.47K,-0.47%,232.2
9/18/15,232.2,232.7,234.7,230.6,53.17K,-0.22%,232.7
9/17/15,232.7,228.6,235.2,227.9,56.06K,1.80%,228.6
9/16/15,228.6,229.5,230.9,225.1,51.91K,-0.41%,229.5
9/15/15,229.5,229.9,242.8,228.0,49.52K,-0.17%,229.9
9/14/15,229.9,230.2,232.6,226.0,61.10K,-0.12%,230.2
9/13/15,230.2,235.6,236.2,228.3,51.60K,-2.30%,235.6
9/12/15,235.6,239.9,240.3,233.3,43.77K,-1.79%,239.9
9/11/15,239.9,238.1,241.0,237.4,45.77K,0.76%,238.1
9/10/15,238.1,237.4,240.6,234.3,60.54K,0.28%,237.4
9/9/15,237.4,243.2,244.3,236.5,69.26K,-2.40%,243.2
9/8/15,243.2,239.6,246.4,239.2,76.35K,1.53%,239.6
9/7/15,239.6,239.9,242.7,237.5,57.19K,-0.12%,239.9
9/6/15,239.9,233.7,243.6,234.7,66.27K,2.65%,233.7
9/5/15,233.7,230.3,235.6,228.3,48.28K,1.49%,230.3
9/4/15,230.3,226.2,231.1,225.8,61.76K,1.79%,226.2
9/3/15,226.2,228.6,229.6,225.4,54.15K,-1.06%,228.6
9/2/15,228.6,227.2,230.6,225.6,58.77K,0.64%,227.2
9/1/15,227.2,229.5,231.4,225.8,66.54K,-1.00%,229.5
8/31/15,229.5,228.4,231.8,224.2,54.51K,0.47%,228.4
8/30/15,228.4,228.5,232.3,225.4,39.81K,-0.04%,228.5
8/29/15,228.5,231.6,233.1,226.4,43.74K,-1.36%,231.6
8/28/15,231.6,222.7,234.8,219.6,90.66K,4.00%,222.7
8/27/15,222.7,225.0,228.4,222.0,60.25K,-1.00%,225.0
8/26/15,225.0,220.5,230.7,218.8,92.81K,2.02%,220.5
8/25/15,220.5,211.4,226.6,196.3,190.79K,4.29%,211.4
8/24/15,211.4,226.8,228.4,207.8,196.70K,-6.76%,226.8
8/23/15,226.8,229.5,232.7,224.3,48.84K,-1.22%,229.5
8/22/15,229.5,232.4,235.1,221.0,74.21K,-1.23%,232.4
8/21/15,232.4,234.7,236.3,230.5,57.65K,-0.96%,234.7
8/20/15,234.7,226.0,238.0,225.5,90.98K,3.83%,226.0
8/19/15,226.0,246.7,247.9,214.3,245.82K,-8.40%,246.7
8/18/15,246.7,257.1,257.5,245.7,94.50K,-4.05%,257.1
8/17/15,257.1,257.1,259.9,252.9,47.88K,0.00%,257.1
8/16/15,257.1,260.5,261.9,254.6,69.04K,-1.31%,260.5
8/15/15,260.5,265.0,266.5,259.4,38.91K,-1.70%,265.0
8/14/15,265.0,263.4,267.2,260.2,52.33K,0.60%,263.4
8/13/15,263.4,267.7,268.4,261.3,56.49K,-1.58%,267.7
8/12/15,267.7,269.0,271.5,263.7,56.73K,-0.51%,269.0
8/11/15,269.0,263.3,269.9,261.4,51.36K,2.18%,263.3
8/10/15,263.3,263.9,266.6,260.5,48.57K,-0.22%,263.9
8/9/15,263.9,258.6,266.8,258.6,57.48K,2.04%,258.6
8/8/15,258.6,277.9,278.9,257.4,82.54K,-6.94%,277.9
8/7/15,277.9,278.0,279.6,274.3,42.81K,-0.04%,278.0
8/6/15,278.0,281.7,282.0,276.5,33.26K,-1.32%,281.7
8/5/15,281.7,284.3,285.5,280.5,38.29K,-0.91%,284.3
8/4/15,284.3,281.6,285.7,279.6,44.84K,0.97%,281.6
8/3/15,281.6,281.4,285.0,278.9,45.89K,0.08%,281.4
8/2/15,281.4,280.5,282.5,275.9,35.67K,0.32%,280.5
8/1/15,280.5,283.7,284.5,276.3,39.43K,-1.15%,283.7
7/31/15,283.7,287.0,288.7,280.8,49.21K,-1.15%,287.0
7/30/15,287.0,288.4,289.9,284.9,44.79K,-0.47%,288.4
7/29/15,288.4,293.7,294.7,286.9,50.67K,-1.81%,293.7
7/28/15,293.7,293.0,296.7,291.7,49.07K,0.24%,293.0
7/27/15,293.0,291.8,295.8,285.4,69.71K,0.42%,291.8
7/26/15,291.8,288.7,293.3,286.8,30.99K,1.05%,288.7
7/25/15,288.7,288.4,291.2,284.7,41.65K,0.13%,288.4
7/24/15,288.4,275.5,289.8,274.3,74.36K,4.66%,275.5
7/23/15,275.5,276.5,277.9,274.5,35.66K,-0.34%,276.5
7/22/15,276.5,275.1,277.4,273.1,41.97K,0.50%,275.1
7/21/15,275.1,277.7,281.0,274.2,49.05K,-0.93%,277.7
7/20/15,277.7,273.2,278.9,271.8,46.60K,1.65%,273.2
7/19/15,273.2,274.0,277.1,271.9,30.20K,-0.32%,274.0
7/18/15,274.0,279.6,282.5,243.2,55.34K,-1.99%,279.6
7/17/15,279.6,276.6,280.8,271.2,62.12K,1.10%,276.6
7/16/15,276.6,283.4,290.8,273.3,121.32K,-2.41%,283.4
